Mês,ICF,ICF até 10 SM,ICF + de 10 SM,Emprego Atual,Emprego Atual até 10 SM,Emprego Atual + de 10 SM,Perspectiva Profissional,Perspectiva Profissional até 10 SM,Perspectiva Profissional + de 10 SM,Renda Atual,Renda Atual até 10 SM,Renda Atual + de 10 SM,Acesso a Crédito,Acesso a Crédito até 10 SM,Acesso a Crédito + de 10 SM,Nível de Consumo Atual,Nível de Consumo Atual até 10 SM,Nível de Consumo Atual + de 10 SM,Perspectiva de Consumo,Perspectiva de Consumo até 10 SM,Perspectiva de Consumo + de 10 SM,Momento para Duráveis,Momento para Duráveis até 10 SM,Momento para Duráveis + de 10 SM,load_timestamp
2010-01-01,138.67724867724868,136.8724842409053,150.84485407066055,142.36111111111111,141.78628389154704,146.23655913978496,122.12962962962963,153.88888888888889,144.44444444444446,153.88888888888889,153.69484316852737,155.19713261648747,158.9351851851852,156.45933014354068,175.6272401433692,109.86111111111111,107.17703349282297,127.95698924731182,141.99074074074073,140.35087719298247,153.04659498207883,141.57407407407408,139.81924508240297,153.40501792114696,2025-01-21 19:37:26.186649+00:00
2010-02-01,137.8525514889151,135.36391145086796,149.47916666666669,140.54178145087235,138.90746934225194,148.17708333333334,121.99265381083563,154.13223140495867,146.09375,154.13223140495867,155.07246376811594,149.73958333333334,159.68778696051425,155.29542920847268,180.20833333333331,104.49954086317723,103.84615384615384,107.55208333333333,136.91460055096417,133.94648829431438,150.78125,147.19926538108356,143.64548494983276,163.80208333333334,2025-01-21 19:37:26.186649+00:00
2010-03-01,138.01822022709268,135.84053867931746,151.7075517075517,142.09796672828097,140.17139796464917,154.20875420875421,119.50092421441775,159.61182994454714,150.84175084175084,159.61182994454714,158.3288698446706,167.67676767676767,155.452865064695,154.04392072844135,164.30976430976432,106.33086876155268,103.74933047670059,122.55892255892256,141.8207024029575,140.70701660417782,148.82154882154882,141.31238447319777,139.3679700053562,153.53535353535355,2025-01-21 19:37:26.186649+00:00
2010-04-01,131.43507972665148,129.33617155471458,141.3651622528907,137.72209567198178,137.41721854304637,139.1644908616188,115.99088838268793,146.87927107061503,132.37597911227152,146.87927107061503,146.7439293598234,147.5195822454308,151.6628701594533,150.38631346578367,157.7023498694517,102.46013667425969,100.0551876379691,113.83812010443864,138.3143507972665,135.9271523178808,149.60835509138383,127.01594533029612,122.29580573951435,149.34725848563968,2025-01-21 19:37:26.186649+00:00
2010-05-01,135.37256983610908,133.84841226918024,144.64285714285714,141.0125406409661,140.56246619794484,143.75,117.13887598699489,155.22526706920576,125.65789473684211,155.22526706920576,154.73228772309358,158.2236842105263,153.3209475150952,151.86587344510545,162.17105263157896,107.61727821644217,105.62466197944835,119.73684210526315,142.03437064561078,140.18388318009735,153.28947368421052,131.2587087784487,128.23147647376962,149.67105263157896,2025-01-21 19:37:26.186649+00:00
2010-06-01,137.31343283582092,136.62461282767998,142.46188594014683,140.53171641791045,141.4595452141724,133.59683794466403,117.21082089552239,161.66044776119404,112.25296442687747,161.66044776119404,161.44896879957696,163.2411067193676,155.64365671641792,154.362771020624,165.2173913043478,110.07462686567165,108.8841882601798,118.97233201581028,142.53731343283582,140.93072448439978,154.54545454545456,133.53544776119404,131.41195134849286,149.40711462450594,2025-01-21 19:37:26.186649+00:00
2010-07-01,136.31034709872887,134.7987329058178,145.04464285714286,137.85154449054863,136.72255273120606,144.375,122.63715998155831,156.84647302904565,124.0625,156.84647302904565,156.19253650621957,160.625,159.0133702166897,158.24770146024878,163.4375,106.82342093130475,104.75932936722552,118.75,137.989857076994,135.3704705246079,153.125,133.0106039649608,129.9080584099513,150.9375,2025-01-21 19:37:26.186649+00:00
2010-08-01,138.4759233286582,136.8285245132536,148.12271062271063,139.22393641888732,137.76683087027914,147.75641025641025,129.35951379149134,152.3609163160355,142.30769230769232,152.3609163160355,151.8336070060208,155.44871794871796,159.37353903693315,157.79967159277504,168.5897435897436,110.09817671809256,108.31964969896005,120.51282051282051,145.90930341280972,143.4592227695676,160.25641025641025,133.0060776063581,131.47235905856596,141.9871794871795,2025-01-21 19:37:26.186649+00:00
2010-09-01,135.71095571095572,134.7006129184347,141.32809086937527,139.95337995337997,139.3839383938394,143.11926605504587,126.52680652680652,150.39627039627038,121.7125382262997,150.39627039627038,150.1100110011001,151.98776758409787,154.82517482517483,153.02530253025301,164.83180428134557,106.57342657342657,104.95049504950495,115.59633027522935,141.44522144522145,140.53905390539055,146.48318042813455,130.25641025641025,127.5027502750275,145.56574923547402,2025-01-21 19:37:26.186649+00:00
2010-10-01,137.59119246584424,136.63810047959745,142.7299703264095,141.92200557103064,141.8271876719868,142.433234421365,128.45868152274838,151.949860724234,127.00296735905044,151.949860724234,152.7242707760044,147.77448071216617,155.75673166202415,151.84369840396258,176.8545994065282,108.03156917363046,107.31975784259768,111.86943620178042,141.13277623026926,141.22179416620804,140.65281899109792,135.88672237697307,132.80132085855806,152.52225519287833,2025-01-21 19:37:26.186649+00:00
2010-11-01,142.0715606020597,141.12916069437807,146.64092664092664,141.95933456561923,141.86176142697883,142.43243243243245,129.80591497227357,155.9611829944547,138.64864864864865,155.9611829944547,156.96767001114827,151.0810810810811,163.4935304990758,160.75808249721294,176.75675675675677,112.8003696857671,113.37792642140468,110.0,147.55083179297597,145.48494983277592,157.56756756756755,142.92975970425138,141.4715719063545,150.0,2025-01-21 19:37:26.186649+00:00
2010-12-01,147.17975751186083,145.89235127478756,152.81814959234313,147.739852398524,145.60906515580737,157.07196029776674,138.2380073800738,158.57933579335793,142.4317617866005,158.57933579335793,158.41359773371104,159.30521091811414,165.4059040590406,162.60623229461757,177.66749379652606,121.90959409594096,120.8498583569405,126.55086848635236,150.0922509225092,148.95184135977337,155.08684863523573,148.29335793357933,147.53541076487252,151.61290322580646,2025-01-21 19:37:26.186649+00:00
2011-01-01,141.55181553140736,140.46109510086455,146.0468272819817,144.3413729128015,141.78674351585016,154.86935866983373,130.5194805194805,130.2593659942363,131.5914489311164,156.91094619666046,156.4265129682997,158.90736342042754,161.59554730983302,160.46109510086455,166.270783847981,116.6048237476809,115.79250720461096,119.95249406175772,144.66604823747682,146.39769452449568,137.52969121140143,136.22448979591837,132.10374639769452,153.20665083135393,2025-01-21 19:37:26.186649+00:00
2011-02-01,136.2018192526667,134.30777716492,145.48262548262548,142.87677508016492,141.25758411472697,150.8108108108108,130.14200641319286,127.90954219525648,141.0810810810811,149.97709573980762,148.42801985659128,157.56756756756758,148.8776912505726,145.67015995587423,164.59459459459458,98.8547869903802,97.84886927744071,103.78378378378379,137.5171781951443,135.57639271924987,147.02702702702703,145.1672010994045,143.4638720353006,153.51351351351352,2025-01-21 19:37:26.186649+00:00
