Mês,ICC,ICC até 10 SM,ICC + de 10 SM,ICC Homens,ICC Mulheres,ICC até 35 anos,ICC + de 35 anos,ICEA,ICEA até 10 SM,ICEA + de 10 SM,ICEA Homens,ICEA Mulheres,ICEA até 35 anos,ICEA + de 35 anos,IEC,IEC até 10 SM,IEC + de 10 SM,IEC Homens,IEC Mulheres,IEC até 35 anos,IEC + de 35 anos,load_timestamp
1994-06-01,82.96280929826443,72.03508410758408,106.18422532846019,,,,,53.759584846294814,39.12051521754572,84.86760780738663,,,,,102.43162559957753,93.97813003427633,120.39530367584256,,,,,2025-01-21 19:37:26.135104+00:00
1994-07-01,95.59068397310278,87.88008823030466,111.97569992654878,,,,,65.5984919707216,53.271932959292144,91.79242987000919,,,,,115.58547864135691,110.95219174431301,125.43121329757518,,,,,2025-01-21 19:37:26.135104+00:00
1994-08-01,110.91619444505096,105.89540612770128,121.58536961941905,,,,,78.39762522348474,63.930745968513214,109.13974364029922,,,,,132.5952405927618,133.87184623382666,129.88245360549894,,,,,2025-01-21 19:37:26.135104+00:00
1994-09-01,112.35375359380265,107.61592540731901,122.42163849008035,,,,,86.48643730777877,72.03108974213221,117.20405088477769,,,,,129.59863111781857,131.3391491841102,125.90003022694881,,,,,2025-01-21 19:37:26.135104+00:00
1994-10-01,116.08035834353502,111.84379651511296,125.08305222893189,,,,,96.00746435135142,83.62387681486891,122.32258786637672,,,,,129.4622876716574,130.65707631527565,126.92336180396867,,,,,2025-01-21 19:37:26.135104+00:00
1994-11-01,119.8415410877729,113.87547128649608,132.51943941548606,,,,,96.67580412832118,81.72937018366184,128.43697626072222,,,,,135.28536572740737,135.30620535505224,135.24108151866196,,,,,2025-01-21 19:37:26.135104+00:00
1994-12-01,121.67594997364208,115.2652598947495,135.29866639128875,,,,,99.89993161505669,84.22586957618705,133.20731344765466,,,,,136.19329554603232,135.95818677379114,136.6929016870448,,,,,2025-01-21 19:37:26.135104+00:00
1995-01-01,124.41443601301339,116.89251978460814,140.39850799837447,,,,,101.8231726269126,82.78728393333122,142.27443610077296,,,,,139.4752782704139,139.62934368545942,139.14788926344215,,,,,2025-01-21 19:37:26.135104+00:00
1995-02-01,123.91344951602376,116.73054156703171,139.17712890763187,,,,,100.87557492710077,82.64563857772696,139.61418966952013,,,,,139.27203257530576,139.4538102265682,138.885755066373,,,,,2025-01-21 19:37:26.135104+00:00
1995-03-01,114.07428216548797,107.5751399751219,127.88495932001587,,,,,94.76500715084558,79.48960299816939,127.22524097528247,,,,,126.94713217524958,126.29883129309025,128.32477154983815,,,,,2025-01-21 19:37:26.135104+00:00
1995-04-01,106.21714297547781,96.03348062639861,127.85742546727107,,,,,88.83782259456827,69.77361688718922,129.34925972274874,,,,,117.80335656275084,113.54005645253822,126.86286929695262,,,,,2025-01-21 19:37:26.135104+00:00
1995-05-01,105.27534464788536,96.29076938622269,124.36756707891854,,,,,86.46769029738527,70.65004752499064,120.08018118872384,,,,,117.8137808815521,113.3845839603774,127.22582433904833,,,,,2025-01-21 19:37:26.135104+00:00
1995-06-01,102.2147542185067,95.23958195681371,117.03699527460427,,,,,82.77586631069346,69.63197153158497,110.70664271629897,,,,,115.17401282371551,112.31132224029953,121.25723031347447,,,,,2025-01-21 19:37:26.135104+00:00
1995-07-01,98.04870632690547,90.76416498893866,113.52835667008493,,,,,84.97636551733167,71.87173871707743,112.8236974678719,,,,,106.76360019995468,103.35911583684616,113.99812947156029,,,,,2025-01-21 19:37:26.135104+00:00
1995-08-01,97.1167991338705,90.56089345582198,111.04809869972357,,,,,81.85261062630042,69.64082436631023,107.80265642877953,,,,,107.2929248055839,104.50760618216316,113.21172688035293,,,,,2025-01-21 19:37:26.135104+00:00
1995-09-01,97.54284227566157,89.76114533229227,114.07894828032131,,,,,77.87102245584374,62.9170963924702,109.6481153405125,,,,,110.6573888222068,107.65717795884032,117.03283690686052,,,,,2025-01-21 19:37:26.135104+00:00
1995-10-01,97.44625717347135,88.50792782994564,116.44020702846348,,,,,79.53369950885258,62.943654896646,114.78754430979151,,,,,109.3879622832172,105.5507764521454,117.5419821742448,,,,,2025-01-21 19:37:26.135104+00:00
1995-11-01,97.37710161492484,87.27965095415026,118.83418426907085,,,,,78.46275719892387,61.18194078631794,115.18449207571143,,,,,109.98666455892551,104.67812439937181,121.26731239797711,,,,,2025-01-21 19:37:26.135104+00:00
1995-12-01,97.95220112968065,88.64336945432923,117.73346843980241,,,,,80.13492707438215,64.84701436257834,112.62174158696526,,,,,109.83038383321299,104.50760618216317,121.14128634169386,,,,,2025-01-21 19:37:26.135104+00:00
1996-01-01,101.3835693712542,93.07863388745874,119.03155727431951,,,,,84.25259111613808,69.37523932455224,115.86696367325797,,,,,112.80422154133159,108.8808969293964,121.14128634169386,,,,,2025-01-21 19:37:26.135104+00:00
1996-02-01,104.03767453726923,93.87298266622155,125.63764476324553,,,,,88.38041864286541,68.7732465632341,130.04565931208194,,,,,114.47584513353844,110.6061400682132,122.69896839735459,,,,,2025-01-21 19:37:26.135104+00:00
1996-03-01,108.16934620682721,96.98715344256428,131.93150583088598,,,,,96.73495293321344,75.82895583927163,141.1601967578398,,,,,115.79227505590308,111.09261851142605,125.77904521291677,,,,,2025-01-21 19:37:26.135104+00:00
1996-04-01,107.70194394307646,95.99157412983527,132.58647979621398,,,,,100.79264101968631,81.57001915860705,141.64071247447973,,,,,112.30814589200324,105.60594411065408,126.55032467737016,,,,,2025-01-21 19:37:26.135104+00:00
